Images/collar_design_labels/9fade85ef437ca0cea953d160a784a0c.jpg,collar_design_labels,0.9316;0.0237;0.0403;0.0037;0.0006
Images/collar_design_labels/309612dd9344672348722df084b25ab0.jpg,collar_design_labels,0.9953;0.0001;0.0010;0.0035;0.0001
Images/collar_design_labels/69842b91ef77194c2a7a937461c24c2b.jpg,collar_design_labels,0.0190;0.8593;0.1215;0.0001;0.0000
Images/collar_design_labels/821f00571b97c08d82de8cc1d059e144.jpg,collar_design_labels,0.8963;0.0399;0.0552;0.0082;0.0005
Images/collar_design_labels/35710f462343d842b94c7b61816d648d.jpg,collar_design_labels,0.9781;0.0002;0.0004;0.0002;0.0212
Images/collar_design_labels/fdaf9a92daf913ea03c8eb1074cc1703.jpg,collar_design_labels,0.0006;0.9994;0.0000;0.0000;0.0000
Images/collar_design_labels/4def3cb088533a48c03d452ef9c766ef.jpg,collar_design_labels,0.0003;0.0003;0.9993;0.0001;0.0000
Images/collar_design_labels/37b5555d31e792bd136db47fb06938c5.jpg,collar_design_labels,0.9847;0.0130;0.0000;0.0007;0.0015
Images/collar_design_labels/8de3d017db399e8abea994f5c06141cd.jpg,collar_design_labels,0.0094;0.9896;0.0010;0.0001;0.0000
Images/collar_design_labels/6082925afaf57eaa47232348307fd908.jpg,collar_design_labels,0.0002;0.0000;0.0000;0.0000;0.9997
Images/collar_design_labels/1b10c9fe122aa01ddcff752aa0c6b1b2.jpg,collar_design_labels,0.9316;0.0012;0.0001;0.0667;0.0005
Images/collar_design_labels/9b29d8083221b78dad5c262c0f77b1a2.jpg,collar_design_labels,0.0265;0.8999;0.0726;0.0007;0.0003
Images/collar_design_labels/c769375ed4d7f78068554ceabd010138.jpg,collar_design_labels,0.0005;0.0000;0.0000;0.0000;0.9995
Images/collar_design_labels/9dacb75bf4b2346411eddde53dfc0645.jpg,collar_design_labels,0.0774;0.0050;0.9134;0.0042;0.0000
Images/collar_design_labels/711f754b98c74d078db5d1db5e4161a3.jpg,collar_design_labels,0.0017;0.9967;0.0015;0.0001;0.0001
